key,en,zh-TW
coexist.enable,Enable sync,啟用同步
coexist.decline,Don't sync,不同步
coexist.billingNote,Large pages may take several hours to complete.,大頁面可能需要幾個小時才能完成。
coexist.toggleLabel,Sync existing contacts and chat history,同步現有聯絡人與聊天記錄
coexist.toggleHelper,Re-enabling only works if Meta has buffered data (within 24 hours of onboarding). Otherwise disconnect and reconnect.,僅當Meta 有緩衝資料時（啟動後 24 小時內），重新啟用才有效。否則斷開並重新連接。
coexist.toggleHelperMessenger,Re-enabling only works if Meta has buffered data (within 24 hours of onboarding). Otherwise disconnect and reconnect the Messenger page.,僅當Meta 有緩衝資料時（啟動後 24 小時內），重新啟用才有效。否則斷開並重新連接Messenger頁面。
coexist.toggleHelperWhatsapp,Re-enabling only works if Meta has buffered data (within 24 hours of onboarding). Otherwise disconnect and reconnect the WhatsApp number.,僅當Meta 有緩衝資料時（啟動後 24 小時內），重新啟用才有效。否則，請斷開並重新連接WhatsApp號碼。
coexist.success.enabled,Sync started. Historical contacts and messages will appear shortly.,同步已開始。歷史聯絡人和訊息很快就會出現。
coexist.success.disabled,Sync disabled.,同步已停用。
coexist.errors.alreadyTriggered,Sync was already triggered for this number. Please wait for Meta to deliver the historical data.,此號碼已觸發同步。請等待Meta傳送歷史資料。
coexist.errors.windowExpired,The 24-hour sync window has expired. Please disconnect and reconnect this number to sync again.,24 小時同步視窗已過期。請中斷並重新連接此號碼以再次同步。
coexist.errors.notEligible,This number is not eligible for historical sync.,此號碼不符合歷史同步條件。
coexist.errors.triggerFailed,Could not start the sync. Please try again later.,無法啟動同步。請稍後重試。
coexist.errors.unknown,Could not enable sync. Please try again later.,無法啟用同步。請稍後重試。
messenger.description,This integration lets you create Messenger bots.,此整合可讓您建立Messenger 機器人。
messenger.welcomeMessage,Welcome Message,歡迎訊息
messenger.welcomeMessageDescription,This is the first message the user will receive from your Bot. This message is sent when the user interacts for the first time with the Bot by clicking on the 'Get Started' button.,這是使用者將從您的機器人收到的第一則訊息。當使用者透過點擊「開始」按鈕第一次與機器人互動時，會傳送此訊息。
messenger.conversationStarters,Conversation Starters,對話起始訊息
messenger.conversationStartersDescription,Conversation Starters provide a way for users to start a conversation with your business with a list of frequently asked questions.,對話起始訊息可讓使用者透過常見問題清單與您的商家展開對話。
messenger.persistentMenu,Persistent Menu,常駐選單
messenger.persistentMenuDescription,The menu can be configured to help users to more easily discover and access your Bot features. The menu is always available to users. This menu should contain the top-level actions that users can use it at any time. Having a menu easily communicates the basic capabilities of your bot for beginners and returned users.,可以設定選單，幫助使用者更輕鬆地發現和存取您的機器人功能。此選單會持續顯示給使用者，並應包含他們隨時都能使用的主要操作。選單也能讓初次使用者與回訪使用者更容易理解機器人的核心功能。
messenger.dynamicPersistentMenu,Dynamic Persistent Menu,動態常駐選單
messenger.dynamicPersistentMenuDescription,Allows you to dynamically change the persistent menu at any time at the user level.,允許您在使用者層級隨時動態變更持久性選單。
messenger.botProfile,Bot Profile,機器人個人資料
messenger.botProfileDescription,This setting allows you to set a different name and image for your bot,此設定可讓您為機器人設定不同的名稱和影像
messenger.personas,Personas,角色
messenger.personasDescription,This setting allows you to set a different name and image for your bot,此設定可讓您為機器人設定不同的名稱和影像
messenger.defaultPersona,Default Persona,預設角色
messenger.reconnect,Reconnect,重新連接
messenger.reconnectDescription,"Always reconnect your bot if your Messenger bot is not responding, or if you are seem any permission error on the error log.",請務必重新連接您的機器人。
messenger.selectFacebookPage,Select Facebook Page,選擇Facebook 頁
messenger.selectPage.noPagesTitle,No Facebook Pages found,找不到Facebook 頁面
messenger.selectPage.noPagesDescription,Pages inside a Business Manager require Business Manager access during connection. Reconnect Messenger and grant all requested permissions.,商務管理平台內的頁面需要在連線期間存取商務管理平台。重新連線Messenger並授予所有請求的權限。
messenger.selectPage.bmLookupFailedTitle,Business Manager pages may be missing,業務管理平台頁面可能遺失
messenger.selectPage.bmLookupFailedDescription,Reconnect Messenger and grant Business Manager access so pages managed through a Business Manager can be listed.,重新連接Messenger 並授予商務管理平台存取權限，以便可以列出透過商務管理平台管理的頁面。
messenger.selectPage.alreadyConnectedNote,This page is already connected,該頁面已連接
messenger.selectPage.notAdminNote,Full admin permission on the page is required to connect,需要頁面的完全管理員權限才能連接
messenger.selectPage.tryAgain,Try reconnecting,嘗試重新連接
messenger.title,Facebook Messenger,Facebook Messenger
messenger.tabs.generalSettings,General Settings,一般設定
messenger.tabs.messageTemplates,Message Templates,訊息範本
messenger.messageTemplate.params.postbackPayload,Button Payload,按鈕負載
messenger.messageTemplate.params.postbackPayloadPlaceholder,Enter payload (optional),輸入酬載（選填）
messenger.messageTemplate.create.trigger,Create new template,建立新範本
messenger.messageTemplate.create.header,Header,標頭
messenger.messageTemplate.create.headerType,Header Type,標頭類型
messenger.messageTemplate.create.none,None,無
messenger.messageTemplate.create.text,Text,文字
messenger.messageTemplate.create.textAndImage,Text + Image,文字+圖片
messenger.messageTemplate.create.image,Image,圖片
messenger.messageTemplate.create.imageHint,"PNG, JPG, or GIF. The image is uploaded before submission.",PNG、JPG 或 GIF。圖片是在提交之前上傳的。
messenger.messageTemplate.create.noImageSelected,No image selected,未選擇影像
messenger.messageTemplate.create.body,Body,身體
messenger.messageTemplate.create.buttons,Buttons,按鈕
messenger.messageTemplate.create.addButton,Add Button,新增按鈕
messenger.messageTemplate.create.addVariable,Add Variable,新增變數
messenger.messageTemplate.create.buttonText,Button Text,按鈕文字
messenger.messageTemplate.create.buttonType,Button Type,按鈕類型
messenger.messageTemplate.create.visitWebsite,Visit Website,訪問網站
messenger.messageTemplate.create.callPhoneNumber,Call Phone Number,撥打電話號碼
messenger.messageTemplate.create.postback,Button,按鈕
messenger.messageTemplate.clone.title,Clone Message Template,複製訊息範本
messenger.messageTemplate.clone.titleWithName,Clone Message Template: {name},複製訊息範本：{name}
messenger.messageTemplate.clone.channelsLabel,Target Channels,目標頻道
messenger.messageTemplate.clone.channelsPlaceholder,Select channels,選擇頻道
messenger.messageTemplate.clone.succeededCount,{count} channel(s) cloned successfully,{count} 頻道已成功複製
messenger.messageTemplate.clone.failedCount,{count} channel(s) failed to clone,{count} 個頻道複製失敗
messenger.messageTemplate.clone.partialSuccess,Cloned to {succeeded} channel(s); {failed} channel(s) failed,已複製到 {succeeded} 個頻道；{failed} 個頻道失敗
messenger.messageTemplate.clone.result.title,Clone Results,複製結果
messenger.messageTemplate.clone.result.succeededTitle,Succeeded,成功
messenger.messageTemplate.clone.result.close,Close,關閉
messenger.tagSync.title,Tag Sync,標籤同步
messenger.tagSync.description,Two-way sync of tags between this workspace and the connected channel.,在此工作區與已連接頻道之間雙向同步標籤。
messenger.tagSync.toggleSuccess,Tag sync setting updated.,標籤同步設定已更新。
messenger.tagSync.enabledSince,Enabled since {date},自 {date} 啟用
messenger.tagSync.disabled,Disabled,已停用
messenger.tagSync.labelSync,Sync tags,同步標籤
messenger.tagSync.on,On,開啟
messenger.tagSync.off,Off,關閉
messenger.tagSync.termsRequired,Page admin must accept the Facebook Page Contact Terms:,頁面管理員必須接受Facebook頁聯絡人條款：
omnichannel.title,Omnichannel,全通路
openai.connect.description,Respond to users naturally with AI powered by your business data.,利用由您的業務資料提供支援的 AI 自然地回應使用者。
openai.title,OpenAI,OpenAI
claude.autoReply.description,Enable AI auto reply to respond to users naturally with AI powered by your business data.,啟用人工智慧自動回覆，透過您的業務資料支援的人工智慧自然地回復使用者。
claude.autoReply.label,AI Auto Reply,人工智慧自動回覆
claude.connect.description,Respond to users naturally with AI powered by your business data.,利用由您的業務資料提供支援的 AI 自然地回應使用者。
claude.connect.label,Claude AI,Claude人工智慧
claude.title,Claude AI,Claude人工智慧
deepseek.autoReply.description,Enable AI auto reply to respond to users naturally with AI powered by your business data.,啟用人工智慧自動回覆，透過您的業務資料支援的人工智慧自然地回復使用者。
deepseek.autoReply.label,AI Auto Reply,人工智慧自動回覆
deepseek.connect.description,Respond to users naturally with AI powered by your business data.,利用由您的業務資料提供支援的 AI 自然地回應使用者。
deepseek.connect.label,DeepSeek,DeepSeek
deepseek.title,DeepSeek,DeepSeek
openrouter.autoReply.description,Enable AI auto reply powered by OpenRouter.,啟用由 OpenRouter 提供支援的 AI 自動回覆。
openrouter.autoReply.label,AI Auto Reply,人工智慧自動回覆
openrouter.connect.description,Access 300+ AI models through a single API key.,透過單一API金鑰存取 300 多個 AI 模型。
openrouter.connect.label,OpenRouter,開放路由器
openrouter.title,OpenRouter,開放路由器
openaiCompatible.addProvider,Add AI Provider,新增人工智慧供應商
openaiCompatible.addProviderModel,Add {name},新增 {name}
openaiCompatible.apiKeyKeepExisting,Leave blank to keep the existing API key.,留空以保留現有的API 金鑰。
openaiCompatible.autoReply.description,Allow this provider to be used for automated AI replies.,允許此提供者用於自動 AI 回覆。
openaiCompatible.autoReply.label,AI Auto Reply,人工智慧自動回覆
openaiCompatible.connect.description,Connect OpenAI-compatible providers for AI Agent fallback models.,連接 OpenAI AI Agent 後備模型的相容提供者。
openaiCompatible.connect.label,OpenAI-compatible providers,OpenAI相容供應商
openaiCompatible.empty,No OpenAI-compatible providers configured.,尚未設定 OpenAI 相容提供者。
openaiCompatible.fields.baseURL,Base URL,基礎URL
openaiCompatible.fields.defaultModel,Default model,預設模型
openaiCompatible.fields.enabled,Enabled,已啟用
openaiCompatible.provider,AI Provider,人工智慧供應商
openaiCompatible.title,OpenAI Compatible,OpenAI相容
openaiCompatible.validation.invalidBaseURL,Base URL is invalid or not allowed.,基礎URL 無效或不允許。
openaiCompatible.validation.presetAlreadyConnected,This preset is already connected for this workspace.,此預設已為此工作區連線。
settings.title,Settings,設定
settings.agents.description,AI Agents description,AI Agent描述
settings.agents.title,AI Agents,AI Agent
settings.aiTriggers.description,AI Triggers description,人工智慧觸發器描述
settings.aiTriggers.title,AI Triggers,人工智慧觸發器
settings.automatedResponses.title,Keywords,關鍵字
settings.openai.description,OpenAI integration description,OpenAI 整合說明
settings.openai.title,OpenAI Integration,OpenAI整合
settings.claude.description,Claude integration description,Claude 整合說明
settings.claude.title,Claude Integration,Claude整合
settings.deepseek.description,DeepSeek integration description,DeepSeek 整合說明
settings.deepseek.title,DeepSeek Integration,DeepSeek整合
auth.orContinueWith,Or continue with,或繼續使用
auth.continueWithFacebook,Continue with Facebook,繼續使用 Facebook
auth.continueWithGoogle,Continue with Google,繼續使用 Google
auth.continueWithEmail,Continue with Email,繼續使用電子郵件
auth.continueWithMagicLink,Continue with Magic Link,繼續使用 Magic Link
auth.dontHaveAnAccount,Don't have an account?,還沒有帳號？
auth.alreadyHaveAnAccount,Already have an account?,已經有帳號了？
auth.signUp,Sign up,註冊
auth.acceptTermsAndPolicy,"By clicking continue, you agree to our",點選繼續即表示您同意我們的
auth.and,and,和
auth.privacyPolicy,Privacy Policy,隱私權政策
auth.termsOfService,Terms of Service,服務條款
auth.signInTitle,Sign in to {name},登入 {name}
auth.forgotPasswordTitle,Forgot your password?,忘記密碼？
auth.forgotPasswordDescription,No worries! We'll send you a link with instructions on how to reset your password.,別擔心！我們會寄送一封電子郵件給您，內含重設密碼的說明。
auth.checkYourEmail,Check your email,檢查您的電子郵件
auth.magicLinkSent,We sent verification URL to your email,我們已將驗證 URL 寄送到您的電子郵件
auth.magicLinkSentDescription,Click the link in your email to continue.,點選電子郵件中的連結繼續。
auth.didNotReceiveEmail,Didn't receive the email? Check your spam folder.,沒有收到電子郵件？請檢查垃圾郵件資料夾。
auth.trySigningInAgain,You can also try signing in again with a different email.,您也可以嘗試改用其他電子郵件再次登入。
auth.signIn,Sign in,登入
auth.signUpSuccess,Signed up successfully. Please check your email for verification.,註冊成功。請檢查您的電子郵件以進行驗證。
auth.forgotPassword,Forgot password?,忘記密碼？
auth.rememberedPassword,Remembered your password?,還記得您的密碼嗎？
auth.forgotPasswordEmailSent,We've sent you an email with instructions to reset your password.,我們已向您傳送了一封電子郵件，其中包含重設密碼的說明。
auth.magicLinkSentTitle,Magic link sent,Magic Link 已寄出
auth.passwordResetSuccess,Password reset successfully,密碼已重設
auth.resetPasswordTitle,Reset your password,重設您的密碼
auth.resetPasswordDescription,Enter your new password below.,在下方輸入您的新密碼。
auth.signUpTitle,Sign up to {name},註冊 {name}
auth.changePasswordTitle,Change your password,更改密碼
auth.changePasswordDescription,Set a new password before continuing.,在繼續之前設定新密碼。
auth.passwordChangeSuccess,Password changed,密碼已更改
emailTopics.title,Email Topics,電子郵件主題
tags.title,Tags,標籤
texts.or,or,或
theme.dark,Dark,黑暗
theme.light,Light,光
theme.system,System,系統
validation.maxSize,File size exceeds maximum limit,檔案大小超出上限
validation.maxItemsReached,Maximum {max} {feature} allowed per workspace,最大 {max}{feature}
validation.invalidApiKey,Invalid API key,API 金鑰無效
validation.maxMustBeGreaterThanMin,{maxField} must be greater than or equal to {minField},{maxField} 必須大於或等於 {minField}
webchat.chatUnavailable,This chat is currently unavailable.,此聊天目前不可用。
webchat.description,Let your customers get instant automated responses from your business directly from your website,讓您的客戶直接從您的網站獲得來自您企業的即時自動回覆
webchat.rateLimitExceeded,Too many requests. Please try again in a moment.,請求過多。請稍後重試。
webchat.title,Web Chat,網路聊天
webchat.workspaceUnavailable,This workspace is no longer available.,此工作區不再可用。
webchat.unauthorizedDomain.description,This website is not authorized to load this chat widget.,本網站無權載入此聊天小工具。
webchat.unauthorizedDomain.title,Webchat unavailable,網路聊天不可用
whatsapp.category.marketing.description,Marketing category description,行銷類別描述
whatsapp.category.marketing.label,Marketing,行銷
whatsapp.category.utility.description,Utility category description,實用程式類別說明
whatsapp.category.utility.label,Utility,實用程式
whatsapp.commands.description,These are special keywords that tell the WhatsApp bot what to do,這些是特殊關鍵字，告訴WhatsApp 機器人要做什麼
whatsapp.commands.label,Commands,命令
whatsapp.autoConnect.inProgress,Connecting…,正在連接...
whatsapp.connectExisting,Connect an existing WhatsApp Business Account,連接現有的 WhatsApp Business 帳號
whatsapp.embeddedSignupDone,Signup complete — you can close this tab.,註冊完成 — 您可以關閉此標籤。
whatsapp.embeddedSignupPopupBlocked,"Please allow pop-ups for this site, then try again.",請允許此網站彈出窗口，然後再試一次。
whatsapp.fillRequiredFields,Please fill in all required fields,請填寫所有必填欄位
whatsapp.continueManualConnect,Continue — manual connect,繼續 — 手動連接
whatsapp.icebreakers.description,These are common questions that people can easily ask you.,這些是人們可以輕鬆問您的常見問題。
whatsapp.icebreakers.label,Icebreakers,破冰船
whatsapp.manualConnect,Manual connect using System User Access token.,使用系統使用者 Access Token 手動連接。
whatsapp.manualOnboarding.title,Your Whatsapp inbox is ready!,您的 WhatsApp 收件匣已準備好！
whatsapp.manualOnboarding.description,Configure the webhook URL and verification token in your Meta App. Use the values below.,在您的 Meta 應用程式中設定 webhook URL 和驗證權杖。使用下面的值。
whatsapp.manualOnboarding.webhookUrl,Webhook URL,Webhook URL
whatsapp.manualOnboarding.verifyToken,Webhook verification token,Webhook 驗證權杖
whatsapp.manualOnboarding.qrCodeHint,Scan the QR code to open the webhook URL,掃描 QR Code 以開啟 webhook URL
whatsapp.manualOnboarding.moreSettings,More settings,更多設定
whatsapp.manualOnboarding.goToInbox,Take me there,帶我去那裡
whatsapp.phoneVerification.title,Verify WhatsApp phone number,驗證WhatsApp電話號碼
whatsapp.phoneVerification.description,"Request a verification code from Meta, enter the code here, and the phone number will be registered automatically.",向Meta要求驗證碼，在此輸入驗證碼，電話號碼將自動註冊。
whatsapp.phoneVerification.errorTitle,Phone number verification required,需要電話號碼驗證
whatsapp.phoneVerification.methods.sms,SMS,簡訊
whatsapp.phoneVerification.methods.voice,Voice call,語音通話
whatsapp.phoneVerification.actions.sendCode,Send code,傳送代碼
whatsapp.phoneVerification.actions.resendIn,Resend in {seconds}s,在 {seconds} 內重新傳送
whatsapp.phoneVerification.actions.verify,Verify and register,驗證並註冊
whatsapp.phoneVerification.fields.code.label,Verification code,驗證碼
whatsapp.phoneVerification.fields.code.placeholder,Enter Meta OTP,輸入Meta OTP
whatsapp.phoneVerification.messages.codeSent,Verification code sent by {method}.,{method} 傳送的驗證碼。
whatsapp.phoneVerification.messages.cooldown,Please wait {seconds}s before requesting another code.,請等待 {seconds}，然後再要求另一個代碼。
whatsapp.phoneVerification.messages.verified,Phone number verified and registered successfully.,電話號碼已驗證並註冊成功。
whatsapp.phoneVerification.errors.integrationNotFound,WhatsApp integration not found.,WhatsApp 找不到整合。
whatsapp.phoneVerification.errors.codeNotSent,WhatsApp verification code could not be sent.,WhatsApp驗證碼無法傳送。
whatsapp.phoneVerification.errors.codeNotVerified,WhatsApp verification code could not be verified.,WhatsApp驗證碼無法驗證。
whatsapp.phoneVerification.errors.registrationFailed,WhatsApp phone number verification failed.,WhatsApp 電話號碼驗證失敗。
whatsapp.connect.errors.accessTokenRequired,WhatsApp access token is required.,必須提供 WhatsApp Access Token。
whatsapp.connect.errors.appSettingsNotFound,WhatsApp app settings were not found.,WhatsApp應用程式設定。
whatsapp.connect.errors.failedToPersistIntegration,Failed to save the WhatsApp integration.,無法儲存WhatsApp 整合。
whatsapp.connect.errors.noPhoneNumberFound,No WhatsApp phone number was found.,找不到 WhatsApp 電話號碼。
whatsapp.connect.errors.noPhoneNumbersFound,No phone numbers were found for this WhatsApp Business Account.,找不到此 WhatsApp 企業帳戶的電話號碼。
whatsapp.connect.errors.phoneNumberNotFound,Selected WhatsApp phone number was not found.,所選WhatsApp 電話號碼找不到。
whatsapp.connect.errors.unableToVerifyToken,Unable to verify the WhatsApp token.,無法驗證WhatsApp 權杖。
whatsapp.connect.errors.wabaMismatch,Selected WhatsApp Business Account does not match the authorization.,所選WhatsApp 企業帳戶與授權不符。
whatsapp.connect.errors.wabaResolveFailed,Could not resolve the WhatsApp Business Account from the authorization.,無法從授權解析WhatsApp 企業帳號。
whatsapp.marketingMessageLite,Marketing Message Lite,行銷訊息 Lite
whatsapp.messageTemplate.carouselImage.label,Carousel Image,輪播影像
whatsapp.messageTemplate.carouselVideo.label,Carousel Video,輪播影片
whatsapp.messageTemplate.document.label,Document,文檔
whatsapp.messageTemplate.image.label,Image,圖片
whatsapp.messageTemplate.location.label,Location,位置
whatsapp.messageTemplate.text.label,Text,文字
whatsapp.messageTemplate.video.label,Video,影片
whatsapp.messageTemplate.viewCatalog.label,View Catalog,檢視目錄
whatsapp.messageTemplate.viewProduct.label,View Product,檢視產品
whatsapp.messageTemplate.params.couponCode,Coupon Code,優惠券代碼
whatsapp.messageTemplate.params.couponCodePlaceholder,Enter coupon code,輸入優惠券代碼
whatsapp.messageTemplate.params.quickReplyPayload,Quick Reply Payload,快速回覆負載
whatsapp.messageTemplate.params.quickReplyPayloadPlaceholder,Enter payload (optional),輸入酬載（選填）
whatsapp.messageTemplate.params.flowToken,Flow Token,流程代幣
whatsapp.messageTemplate.params.flowTokenPlaceholder,Enter flow token,輸入流權杖
whatsapp.messageTemplate.params.flowNotSynced,Sync WhatsApp flows to map submitted fields.,同步WhatsApp 流以映射提交的欄位。
whatsapp.messageTemplate.params.catalogProductId,Product ID,產品ID
whatsapp.messageTemplate.params.catalogProductIdPlaceholder,Enter product retailer ID,輸入產品零售商ID
whatsapp.messageTemplate.params.carouselCard,Card {index},卡 {index}
whatsapp.messageTemplate.params.limitedTimeOffer,Offer Expiration Time,優惠到期時間
whatsapp.messageTemplate.params.limitedTimeOfferPlaceholder,Enter expiration time in milliseconds,輸入過期時間（以毫秒為單位）
whatsapp.messageTemplate.params.limitedTimeOfferHelp,Unix timestamp in milliseconds when the offer expires,優惠到期時的 Unix 時間戳記（以毫秒為單位）
whatsapp.messageTemplate.params.location,Location,位置
whatsapp.messageTemplate.params.latitude,Latitude,緯度
whatsapp.messageTemplate.params.longitude,Longitude,經度
whatsapp.messageTemplate.params.locationName,Location name (optional),位置名稱（可選）
whatsapp.messageTemplate.params.locationAddress,Address (optional),地址（可選）
whatsapp.messageTemplate.params.enterFormatUrl,Enter {format} URL,輸入 {format} URL
whatsapp.sampleBodyCardContent.label,Sample body card content,身體卡內容範例
whatsapp.sampleBodyContent.label,Sample body content,範例正文內容
whatsapp.sampleHeaderContent.label,Sample header content,範例標題內容
whatsapp.showFooter.label,Show footer,顯示頁尾
whatsapp.showHeader.label,Show header,顯示標題
whatsapp.tabs.accountHealths,Account Health,帳戶健康狀況
whatsapp.tabs.automation,Automation,自動化
whatsapp.tabs.ecommerce,Ecommerce,電子商務
whatsapp.tabs.flows,Flows,流程
whatsapp.tabs.messageTemplates,Message Templates,訊息範本
whatsapp.tabs.profile,Profile,簡介
whatsapp.tabs.usefulLinks,Useful Links,有用連結
whatsapp.accountHealths.title,Manage your WhatsApp account,管理您的WhatsApp帳戶
whatsapp.accountHealths.description,"Review your WhatsApp account status, messaging limits, and quality. Update settings or resolve issues if needed",檢查您的WhatsApp 帳戶狀態、訊息限制和品質。更新設定或解決問題（如果需要）
whatsapp.accountHealths.goToBusinessManager,Go to Meta Business Manager,前往Meta業務經理
whatsapp.accountHealths.unavailable.title,Account health is temporarily unavailable,帳戶運作狀況暫時無法使用
whatsapp.accountHealths.unavailable.description,We could not load this WhatsApp phone number from Meta right now. Other recovery actions on this page are still available.,我們現在無法從 Meta 載入此 WhatsApp 電話號碼。此頁面上的其他復原操作仍然可用。
whatsapp.accountHealths.fields.displayPhoneNumber.label,Display phone number,顯示電話號碼
whatsapp.accountHealths.fields.displayPhoneNumber.tooltip,The phone number shown to customers when they message your business.,客戶向您的企業傳送訊息時顯示的電話號碼。
whatsapp.accountHealths.fields.businessName.label,Business name,公司名稱
whatsapp.accountHealths.fields.businessName.tooltip,The verified WhatsApp business display name.,已驗證的WhatsApp 商家顯示名稱。
whatsapp.accountHealths.fields.displayNameStatus.label,Display name status,顯示名稱狀態
whatsapp.accountHealths.fields.displayNameStatus.tooltip,Approval status of your WhatsApp business display name.,您的WhatsApp 商家顯示名稱的核准狀態。
whatsapp.accountHealths.fields.qualityRating.label,Quality rating,品質評級
whatsapp.accountHealths.fields.qualityRating.tooltip,Quality rating based on customer feedback over the last 7 days.,基於過去 7 天客戶回饋的品質評級。
whatsapp.accountHealths.fields.messagingLimitTier.label,Messaging limit tier,訊息傳遞限制層
whatsapp.accountHealths.fields.messagingLimitTier.tooltip,Maximum number of unique customers your business can message in a 24-hour rolling window.,您的企業可以在 24 小時滾動視窗中傳送訊息的唯一客戶的最大數量。
whatsapp.accountHealths.fields.accountMode.label,Account mode,帳戶模式
whatsapp.accountHealths.fields.accountMode.tooltip,Whether the WhatsApp Business Account is live or in sandbox mode.,WhatsApp 企業帳戶是否處於活動狀態或沙盒模式。
whatsapp.accountHealths.fields.marketingMessages.label,Marketing Messages (MM Lite),行銷訊息（MM Lite）
whatsapp.accountHealths.fields.marketingMessages.tooltip,Onboarding status of the WhatsApp Business Account into Marketing Messages Lite API.,WhatsApp 企業帳戶進入行銷訊息 Lite API 的入職狀態。
whatsapp.accountHealths.fields.marketingMessages.status.INELIGIBLE_ON_BEHALF_OF_WABA,Ineligible: OBO model,不符合條件：OBO 型號
whatsapp.accountHealths.fields.marketingMessages.status.INELIGIBLE_INACTIVE_OR_RESTRICTED,Ineligible: inactive or restricted,不符合條件：不活躍或受限
whatsapp.accountHealths.fields.marketingMessages.status.INELIGIBLE_COUNTRY_NOT_SUPPORTED,Ineligible: country not supported,不符合資格：不支援的國家/地區
whatsapp.accountHealths.fields.marketingMessages.status.INELIGIBLE_USING_WHATSAPP_BUSINESS_APP,Ineligible: using WhatsApp Business app,不符合條件：使用 WhatsApp 商務應用
whatsapp.accountHealths.fields.marketingMessages.status.ELIGIBLE,Eligible,符合條件
whatsapp.accountHealths.fields.marketingMessages.status.PENDING_VALID_PAYMENT_METHOD,Pending valid payment method,等待有效的付款方式
whatsapp.accountHealths.fields.marketingMessages.status.PENDING_INTERNAL_SETUP,Pending internal setup,待內部設定
whatsapp.accountHealths.fields.marketingMessages.status.ONBOARDED,Onboarded,已上線
whatsapp.accountHealths.fields.marketingMessages.description.INELIGIBLE_ON_BEHALF_OF_WABA,"The WhatsApp Business Account uses the OBO model, which is not supported. You must first transfer ownership of the WABA to the customer or onboard using the Intent API.",WhatsApp 企業帳戶使用 OBO 模型，不支援。您必須先使用意圖API將 WABA 的所有權轉讓給客戶或船上。
whatsapp.accountHealths.fields.marketingMessages.description.INELIGIBLE_INACTIVE_OR_RESTRICTED,The WhatsApp Business Account is inactive or restricted from messaging due to a policy enforcement issue.,WhatsApp 企業帳戶處於非活動狀態或因策略執行問題而無法傳送訊息。
whatsapp.accountHealths.fields.marketingMessages.description.INELIGIBLE_COUNTRY_NOT_SUPPORTED,The WhatsApp Business Account is in a region that does not support the MM Lite API.,WhatsApp 企業帳戶所在區域不支援 MM Lite API。
whatsapp.accountHealths.fields.marketingMessages.description.INELIGIBLE_USING_WHATSAPP_BUSINESS_APP,The WhatsApp Business phone number is being used within the WhatsApp Business app.,WhatsApp 企業電話號碼正在WhatsApp 企業應用程式中使用。
whatsapp.accountHealths.fields.marketingMessages.description.ELIGIBLE,The WhatsApp Business Account is eligible to onboard and use the MM Lite API.,WhatsApp 企業帳戶有資格加入並使用 MM Lite API。
whatsapp.accountHealths.fields.marketingMessages.description.PENDING_VALID_PAYMENT_METHOD,The WhatsApp Business Account requires setting up a valid payment method.,WhatsApp 企業帳戶需要設定有效的付款方式。
whatsapp.accountHealths.fields.marketingMessages.description.PENDING_INTERNAL_SETUP,The WhatsApp Business Account is being configured to use the MM Lite API and requires no further action from the business customer or partner. The automated setup process is estimated to take less than ten minutes. Subscribe to the account_update webhook and listen for the AD_ACCOUNT_LINKED event. Submit a support ticket if the setup process takes more than ten minutes and you have not received a webhook.,WhatsApp 企業帳戶正在設定為使用 MM Lite API，無需企業客戶或合作夥伴採取進一步操作。自動設定過程預計需要不到十分鐘。訂閱 account_update Webhook 並偵聽 AD_ACCOUNT_LINKED 事件。如果設定過程需要十分鐘以上且您尚未收到 Webhook，請提交支援票證。
whatsapp.accountHealths.fields.marketingMessages.description.ONBOARDED,The WhatsApp Business Account has successfully onboarded and is ready to use the MM Lite API.,WhatsApp 企業帳戶已成功註冊並準備好使用 MM Lite API。
whatsapp.accountHealths.fields.webhookConfiguration.label,Webhook Configuration,Webhook設定
whatsapp.accountHealths.fields.webhookConfiguration.tooltip,Status of the webhook configured to receive WhatsApp events.,設定為接收 WhatsApp 事件的 Webhook 的狀態。
whatsapp.accountHealths.fields.webhookConfiguration.configured,Webhook configured successfully,Webhook設定成功
whatsapp.accountHealths.fields.webhookConfiguration.notConfigured,Webhook not configured,Webhook 未設定
whatsapp.accountHealths.fields.phoneNumberHealth.label,Phone Number Health,電話號碼健康狀況
whatsapp.accountHealths.fields.phoneNumberHealth.tooltip,Whether this phone number can send messages and any issues affecting it.,此電話號碼是否可以傳送訊息以及任何影響它的問題。
whatsapp.accountHealths.fields.phoneNumberHealth.headline,Phone Number - {status},電話號碼 - {status}
whatsapp.accountHealths.fields.wabaHealth.label,WhatsApp Business Account Health,WhatsApp 企業帳戶健康狀況
whatsapp.accountHealths.fields.wabaHealth.tooltip,Whether the WhatsApp Business Account can send messages and any issues affecting it.,WhatsApp 企業帳戶是否可以傳送訊息以及影響它的任何問題。
whatsapp.accountHealths.fields.wabaHealth.headline,WhatsApp Business Account (WABA ID: {id}) - {status},WhatsApp 企業帳戶（WABA ID：{id}）- {status}
whatsapp.accountHealths.fields.wabaHealth.headlineNoId,WhatsApp Business Account - {status},WhatsApp 企業帳戶 - {status}
whatsapp.accountHealths.messagingLimitTier.TIER_50,50 customers per 24h,每 24 小時 50 位顧客
whatsapp.accountHealths.messagingLimitTier.TIER_250,250 customers per 24h,每 24 小時 250 位顧客
whatsapp.accountHealths.messagingLimitTier.TIER_1K,"1,000 customers per 24h","每 24 小時 1,000 名顧客"
